"Item Name";"Type";"Parent";"Relation"
"Total";"Изделия и компоненты";;
"ПВЛ";"Изделия и компоненты";"Total";
"Стандарт.#1";"Варианты комплектации";"ПВЛ";
"Тележка Б25.#2";"Прямые компоненты";"Стандарт.#1";"Тележка Б25"
"ХОП 101";"Изделия и компоненты";"Total";
"Стандарт.#101";"Варианты комплектации";"ХОП 101";
"Тележка Б25.#205";"Прямые компоненты";"Стандарт.#101";"Тележка Б25"
"Тележка Б25";"Изделия и компоненты";"Total";
"Стандарт.#5";"Варианты комплектации";"Тележка Б25";
"РБ ЦДЛР.9855.00.02.000.#17";"Прямые компоненты";"Стандарт.#5";
"БН ЦДЛР.9855.00.01.000.#18";"Прямые компоненты";"Стандарт.#5";
"Доп1.#108";"Варианты комплектации";"Тележка Б25";
"РБ 4536-07.00.02.000.#226";"Прямые компоненты";"Доп1.#108";
"БН 4701-09.00.01.000.#227";"Прямые компоненты";"Доп1.#108";
"Доп2.#6";"Варианты комплектации";"Тележка Б25";
"РБ 4536-07.00.02.000.#26";"Прямые компоненты";"Доп2.#6";
"БН 4701-09.00.01.000.#27";"Прямые компоненты";"Доп2.#6";
